entity,question,answer1,answer2,answer3,answer4,correctAnswer,reference,category
CMCC,"For conflicts and migrations, climate change is:",The root cause of triggering a new crisis,A contributing cause that amplifies and accelerates pre-existing crises,"Sometimes the cause of triggering a new crisis, other times a contributing cause that amplifies and accelerates pre-existing crises",None of the above answers are correct,3,https://library.oapen.org/bitstream/handle/20.500.12657/57734/1/9783943423815.pdf,Climate change fundamentals
CMCC,Deforestation has emitted how much CO2 annually over the past 20 years?,5 million tons,8.1 Gigatons,200 billion tons,5 Gigatons,2,https://datatopics.worldbank.org/sdgatlas/goal-15-life-on-land/?lang=en ,Climate change fundamentals
CMCC,What is deforestation?,"The permanent transformation of forested areas to other land uses, like agriculture or construction",The damaging of forests by human activities,The removal of forests for human acitivities,The process of losing forests due to climate change,2,https://datatopics.worldbank.org/sdgatlas/goal-15-life-on-land/?lang=en ,Climate change fundamentals
CMCC,How many tons of plastic end up in the sea every year?,4 million,8 million,11 million,14 million,4,"https://blog.cleanhub.com/how-much-plastic-in-the-ocean#:~:text=The%20International%20Union%20for%20Conservation,entering%20our%20environment%20every%20hour. ",Climate change fundamentals
CMCC,How much of the oxygen we breathe comes from the sea?,Roughly half ,One third,A lot,7 million tons,1,"https://oceanservice.noaa.gov/facts/ocean-oxygen.html#:~:text=About%20half%20of%20Earth's%20oxygen,oxygen%20than%20the%20largest%20redwoods. ",Climate change fundamentals
CMCC,Which of these is a proposed solution to combat fake news in environmental issues?,A control of information by a government agency,Increasing citizens' average literacy,"Encourage the production of information directly by environmental experts, such as scientists","Banning advertising in the media to reduce the ""clickbait"" trend",2,https://www.tandfonline.com/doi/pdf/10.1080/23311983.2022.2037229 ,Climate change fundamentals
CMCC,Which of the following is a climate change adaptation measure?,Provision of monitoring and warning systems for heat waves,Adaptation of CO2 emissions from vehicles to European limits,Ratification of the Paris Agreement,Wind power,1,https://climatepromise.undp.org/news-and-stories/what-climate-change-adaptation-and-why-it-crucial  ,Climate change fundamentals
CMCC,"The ""life-cycle"" CO2 emissions of an electric car:",Is similar to those of a Euro 6 diesel car,Depends on how the electricity is generated,Is mainly due to the construction of the vehicle,Is null and void because electricity is used,2,https://www.carbonbrief.org/factcheck-how-electric-vehicles-help-to-tackle-climate-change/ ,Climate change fundamentals
CMCC,Finish the following statement: The EU's current 2030 greenhouse gas emissions reduction target __,Is equal to 55% of 2020 emissions,Has been decreased compared to what was previously expected,Will be the EU's last climate commitment,Is 55 % of 1990 emissions,4,"https://climate.ec.europa.eu/eu-action/climate-strategies-targets/2030-climate-targets_en#:~:text=In%202023%2C%20the%20EU%20adopted,climate%2Dneutral%20continent%20by%202050.",Climate change fundamentals
CMCC,Which of the following options correctly expresses the characteristics and relationship between the Kyoto Protocol and the Paris Agreement?,"The Kyoto Protocol is legally binding, while the Paris Agreement is an entirely voluntary text.","The Kyoto Protocol is based on rules and obligations that are generally differentiated between developed and developing countries, while the Paris Agreement provides mostly common provisions for all countries, with specific flexibility for developing countries.","Both the Kyoto Protocol and the Paris Agreement provide rules and obligations that differ sharply between developed and developing countries, in all their articles.",The two instruments do not differ substantially except for the period of implementation and the number of signatory countries.,2,"https://www.cfr.org/backgrounder/paris-global-climate-change-agreements#:~:text=The%20Kyoto%20Protocol%20required%20only,countries%20to%20set%20emissions%20targets. ",Climate change fundamentals
CMCC,"At the climate negotiations, the 5 UN regional groups (African Group; Asia-Pacific Group; Eastern-European Group; Latin American and Caribbean Group; Western European and Others Group) are generally used:","As negotiating alliances to be entrusted, on behalf of their respective member countries, with interventions in all technical discussions in order to ensure shorter and more efficient sessions.","As a criterion for defining the differentiation of obligations between countries in the various negotiating texts, according to the principle of historical responsibilities.","As a criterion of geographical balance for the rotation of the seat/presidency of the COPs from year to year, as well as for the composition of certain decision-making and/or technical bodies.","Exclusively for speeches at the opening and closing plenary sessions of the conferences, representing all member countries.",3,https://unfccc.int/process/bodies/supreme-bodies/conference-of-the-parties-cop ,Climate change fundamentals
CMCC,"Which of these options contains phenomena that have ""INDIRECT EFFECTS"" on health?","Air pollution, floods and extreme temperatures","Extreme temperatures, vector-borne diseases and air pollution","Allergies and pollen, air pollution and vector-borne diseases",,3,"https://climatechange.chicago.gov/climate-impacts/climate-impacts-human-health#:~:text=The%20impacts%20of%20climate%20change,and%20the% ",Climate change fundamentals
CMCC,Which of these phenomena affects the largest number of people in the world (2000-2019)?,Floods,Extreme temperatures,Gales,Hurricanes,1,https://www.undrr.org/publication/human-cost-disasters-overview-last-20-years-2000-2019 ,Climate change fundamentals
CMCC,About 7 million people a year die from:,"Outdoor pollution (e.g. machines, factories, etc.)",Outdoor pollution and indoor pollution,Indoor pollution (e.g. household air pollution,Floods,2,"https://www.who.int/health-topics/air-pollution#:~:text=The%20combined%20effects%20of%20ambient,7%20million%20premature%20deaths%20annually. ",Climate change fundamentals
CMCC,What are the elements behind the ONE HEALTH approach?,"Human, environmental and plant health",Human health and environmental health,Human and plant health,Plant health,1,https://www.who.int/health-topics/one-health#tab=tab_1,Climate change fundamentals
CMCC,What is the main nature of the observed climate change?,"The warming of our planet, which is manifested by an increase in its average temperature and an increase in rainfall all over the globe.","The change in the statistics of parameters such as temperature, precipitation and other variables that affect both their average value and their extreme values.","The warming of our planet, which is manifested by an increase in its average temperature and a decrease in rainfall all over the globe.",,2,https://climateknowledgeportal.worldbank.org/overview,Climate change fundamentals
CMCC,What are the possible explanations for the climate change we are observing?,"What we are observing are only natural fluctuations in the climate, which have always been there and of which we also have evidence from paleo-climatic reconstructions carried out with the analysis of Antarctic ice cores.","What we are seeing is a climate change entirely caused by humans, whose activities have begun to interact with the global climate system since ancient times.","What we are observing is a climate change largely caused by human activities, especially those that, since the advent of the industrial age, have produced the emission of a large amount of greenhouse gases into the atmosphere.",,3,https://www.ipcc.ch/report/ar6/wg1/downloads/outreach/IPCC_AR6_WGI_SummaryForAll.pdf ,Climate change fundamentals
CMCC,How does climate change manifest itself?,With a significant increase (or decrease) in the global average temperature of the planet that lasts at least 30 years.,With a variation in temperature and average rainfall that have an extension and duration over time that modify the balance of the observed climate.,"With a change in the statistics of meteorological and climatic events, which highlights changes in the characteristics of the averages and probabilities of occurrence of anomalous events, including extreme events.",,3,https://www.ipcc.ch/report/ar6/wg1/downloads/outreach/IPCC_AR6_WGI_SummaryForAll.pdf ,Climate change fundamentals
CMCC,What is a numerical climate model?,"A plastic model that reproduces in the laboratory an environment similar to the terrestrial planet, with which to simulate the interaction between the components, using a gas for the atmosphere, liquid water for oceans, lakes and rivers and ice for glaciers.",A software program that numerically solves the physics equations that represent the various components of the climate system.,"A software program that uses observations of the state of the ocean, atmosphere, ice, and the Earth's surface (including vegetation) to infer the evolution of the climate system in the future.",,2,https://pdf.sciencedirectassets.com/779465/3-s2.0-C20190014987/3-s2.0-B9780128215753000049/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEC8aCXVzLWVhc3QtMSJHMEUCIQCaGXKbN4DI6DITzMnrvfXH6fbeDKMh1RRPrERkwH6TdwIgU%2F1maskrIM5hak2S8haCrwSjT1lgQtscTlNYhgSctvkq,Climate change fundamentals
CMCC,Why do we think that the CO2 emitted as a result of the use of fossil fuels and more generally of industrial activities is responsible for the climate change we are observing?,"Because CO2 is a greenhouse gas that interacts with the planet's energy balance by absorbing some of the Earth's radiation that the Earth emits into space. By increasing the concentration of CO2, human activities increase the ability of the atmosphere to absorb terrestrial radiation, thereby increasing its temperature.","Because CO2 is a greenhouse gas that interacts with the planet's energy balance by absorbing part of the solar radiation, which is the energy that powers the entire climate system. By increasing the concentration of CO2, human activities, therefore, increase the ability of the atmosphere to absorb solar radiation, causing warming.","Because CO2 is a pollutant that is emitted by burning fossil fuels and therefore poisons the atmosphere and, among other things, changes the planet's climate because it is released into the atmosphere at very high temperatures.",,1,https://science.nasa.gov/climate-change/causes/ ,Climate change fundamentals
CMCC,What are the emission scenarios used in climate simulations?,"They are predictions of what the society of the future will probably look like, calculating how many emissions human activities will produce for different periods over the next two centuries.","These are scenarios produced by climate models in which a future climate is imagined and how many fossil fuels society will need to heat itself, to produce energy, food, etc., are calculated based on climatic conditions.","These are socio-economic scenarios, based on different plausible assumptions of demographic, economic, and technological development and the dynamics of interaction between countries and regions of the planet. For each of these different scenarios, emission pathways are then calculated that reflect the degree and manner of natural resource use.",,3,https://doi.org/10.5194/GMD-12-1443-2019,Climate change fundamentals
CMCC,What are climate change projections?,They are future climate scenarios produced by climate models based on the greenhouse gas concentrations produced from emission scenarios corresponding to different socio-economic developments,"They are scenarios of plausible climate conditions for the future of the planet, which are used to calculate emissions scenarios.","They are future climate scenarios based on an extrapolation produced by models of the trend of climate change observed in the recent past, for the coming decades.",,1,https://niwa.co.nz/climate-change-information-climate-solvers/climate-change-projections-how-do-scientists-predict-our-future-climate ,Climate change fundamentals
CMCC,What are extreme events?,These are the most destructive events that occur most frequently.,These are extremely negative and rare but very likely events.,"These events are exceptionally rare and, therefore, unlikely and very often involve serious impacts.",,3,https://www.climate.gov/news-features/climate-qa/what-extreme-event-there-evidence-global-warming-has-caused-or-contributed ,Climate change fundamentals
CMCC,Define resilience:,It is a planning tool that is activated to respond to climate emergencies,It is a community's ability to react to a shock and identify new solutions to a changing climate,It is a solution to the sudden shocks that affect urban areas,,2,https://www.c2es.org/wp-content/uploads/2019/04/what-is-climate-resilience.pdf ,Climate change fundamentals
CMCC,In which year was the European Strategy on Adaptation to Climate Change published?,2007,2009,2013,2017,3,https://climate.ec.europa.eu/document/download/ed34b40f-0408-4d9f-a8de-674ecc27ee4c_en?filename=eu_strategy_en.pdf ,Climate change fundamentals
