question,answer1,answer2,answer3,answer4,correctAnswer
"For conflicts and migrations, climate change is:",The root cause of triggering a new crisis,A contributing cause that amplifies and accelerates pre-existing crises,"Sometimes the cause of triggering a new crisis, other times a contributing cause that amplifies and accelerates pre-existing crises",None of the above answers are correct,3
"How much CO2 is emitted annually from deforestation globally, as a % of total CO2 emissions?",5-10%,10-19%,20-30%,30-40%,2
"How much CO2 is absorbed annually by forests, in Europe and worldwide, compared to total greenhouse gas emissions",5% in Europe and 10% worldwide,10% in Europe and 30% worldwide,20% in Europe and 20% in the world,30% in Europe and 30% worldwide,2
How many tons of plastic end up in the sea every year?,4 million,8 million,11 million,15 million,4
How much of the oxygen we breathe comes from the sea?,"0,15","0,3","0,5","0,7",1
Which of these is a proposed solution to combat fake news in environmental issues?,A control of information by a government agency,Increasing citizens' average literacy,"Encourage the production of information directly by environmental experts, such as scientists","Banning advertising in the media to reduce the ""clickbait"" trend",2
Which of the following is a climate change adaptation measure?,Provision of monitoring and warning systems for heat waves,Adaptation of CO2 emissions from vehicles to European limits,Ratification of the Paris Agreement,Wind power,1
"The ""life-cycle"" CO2 emissions of an electric car:",Is similar to those of a Euro 6 diesel car,Depends on how the electricity is generated,Is mainly due to the construction of the vehicle,Is null and void because electricity is used,2
The EU's current 2030 greenhouse gas emissions reduction target:,Is equal to 55% of 2020 emissions,Has been decreased compared to what was previously expected,Will be the EU's last climate commitment,Is 55 % of 1990 emissions,3
Which of the following options correctly expresses the characteristics and relationship between the Kyoto Protocol and the Paris Agreement?,"The Kyoto Protocol is legally binding, while the Paris Agreement is an entirely voluntary text.","The Kyoto Protocol is based on rules and obligations that are generally differentiated between developed and developing countries, while the Paris Agreement provides mostly common provisions for all countries, with specific flexibility for developing countries.","Both the Kyoto Protocol and the Paris Agreement provide rules and obligations that differ sharply between developed and developing countries, in all their articles.",The two instruments do not differ substantially except for the period of implementation and the number of signatory countries.,2
"At the climate negotiations, the 5 UN regional groups (African Group; Asia-Pacific Group; Eastern-European Group; Latin American and Caribbean Group; Western European and Others Group) are generally used:","As negotiating alliances to be entrusted, on behalf of their respective member countries, with interventions in all technical discussions in order to ensure shorter and more efficient sessions.","As a criterion for defining the differentiation of obligations between countries in the various negotiating texts, according to the principle of historical responsibilities.","As a criterion of geographical balance for the rotation of the seat/presidency of the COPs from year to year, as well as for the composition of certain decision-making and/or technical bodies.","Exclusively for speeches at the opening and closing plenary sessions of the conferences, representing all member countries.",3
"Which of these options contains phenomena that have ""INDIRECT EFFECTS"" on health?","Air pollution, floods and extreme temperatures","Extreme temperatures, vector-borne diseases and air pollution","Allergies and pollen, air pollution and vector-borne diseases",,3
Which of these phenomena affects the largest number of people in the world (2000-2019)?,Floods,Extreme temperatures,Gales,Hurricanes,1
About 7 million people a year die from:,"Outdoor pollution (e.g. machines, factories, etc.)",Outdoor pollution and indoor pollution,Indoor pollution (e.g. household air pollution,Floods,2
What are the elements behind the ONE HEALTH approach?,"Human, environmental and plant health",Human health and environmental health,Human and plant health,Plant health,1
What is the main nature of the observed climate change?,"The warming of our planet, which is manifested by an increase in its average temperature and an increase in rainfall all over the globe.","The change in the statistics of parameters such as temperature, precipitation and other variables that affect both their average value and their extreme values.","The warming of our planet, which is manifested by an increase in its average temperature and a decrease in rainfall all over the globe.",,2
What are the possible explanations for the climate change we are observing?,"What we are observing are only natural fluctuations in the climate, which have always been there and of which we also have evidence from paleo-climatic reconstructions carried out with the analysis of Antarctic ice cores.","What we are seeing is a climate change entirely caused by humans, whose activities have begun to interact with the global climate system since ancient times.","What we are observing is a climate change largely caused by human activities, especially those that, since the advent of the industrial age, have produced the emission of a large amount of greenhouse gases into the atmosphere.",,3
How does climate change manifest itself?,With a significant increase (or decrease) in the global average temperature of the planet that lasts at least 30 years.,With a variation in temperature and average rainfall that have an extension and duration over time that modify the balance of the observed climate.,"With a change in the statistics of meteorological and climatic events, which highlights changes in the characteristics of the averages and probabilities of occurrence of anomalous events, including extreme events.",,3
What is a numerical climate model?,"A plastic model that reproduces in the laboratory an environment similar to the terrestrial planet, with which to simulate the interaction between the components, using a gas for the atmosphere, liquid water for oceans, lakes and rivers and ice for glaciers.",A software program that numerically solves the physics equations that represent the various components of the climate system.,"A software program that uses observations of the state of the ocean, atmosphere, ice, and the Earth's surface (including vegetation) to infer the evolution of the climate system in the future.",,2
