entity,question,answer1,answer2,answer3,answer4,correctAnswer,reference,category
CMCC,"For conflicts and migrations, climate change is:",The root cause of triggering a new crisis,A contributing cause that amplifies and accelerates pre-existing crises,"Sometimes the cause of triggering a new crisis, other times a contributing cause that amplifies and accelerates pre-existing crises",None of the above answers are correct,3,This is a test reference,Climate change fundamentals
CMCC,"How much CO2 is emitted annually from deforestation globally, as a % of total CO2 emissions?",5-10%,10-19%,20-30%,30-40%,2,This is a test reference,Climate change fundamentals
CMCC,"How much CO2 is absorbed annually by forests, in Europe and worldwide, compared to total greenhouse gas emissions",5% in Europe and 10% worldwide,10% in Europe and 30% worldwide,20% in Europe and 20% in the world,30% in Europe and 30% worldwide,2,This is a test reference,Climate change fundamentals
CMCC,How many tons of plastic end up in the sea every year?,4 million,8 million,11 million,15 million,4,This is a test reference,Climate change fundamentals
CMCC,How much of the oxygen we breathe comes from the sea?,"0,15","0,3","0,5","0,7",1,This is a test reference,Climate change fundamentals
CMCC,Which of these is a proposed solution to combat fake news in environmental issues?,A control of information by a government agency,Increasing citizens' average literacy,"Encourage the production of information directly by environmental experts, such as scientists","Banning advertising in the media to reduce the ""clickbait"" trend",2,This is a test reference,Climate change fundamentals
CMCC,Which of the following is a climate change adaptation measure?,Provision of monitoring and warning systems for heat waves,Adaptation of CO2 emissions from vehicles to European limits,Ratification of the Paris Agreement,Wind power,1,This is a test reference,Climate change fundamentals
CMCC,"The ""life-cycle"" CO2 emissions of an electric car:",Is similar to those of a Euro 6 diesel car,Depends on how the electricity is generated,Is mainly due to the construction of the vehicle,Is null and void because electricity is used,2,This is a test reference,Climate change fundamentals
CMCC,Finish the following statement: The EU's current 2030 greenhouse gas emissions reduction target __,Is equal to 55% of 2020 emissions,Has been decreased compared to what was previously expected,Will be the EU's last climate commitment,Is 55 % of 1990 emissions,3,This is a test reference,Climate change fundamentals
CMCC,Which of the following options correctly expresses the characteristics and relationship between the Kyoto Protocol and the Paris Agreement?,"The Kyoto Protocol is legally binding, while the Paris Agreement is an entirely voluntary text.","The Kyoto Protocol is based on rules and obligations that are generally differentiated between developed and developing countries, while the Paris Agreement provides mostly common provisions for all countries, with specific flexibility for developing countries.","Both the Kyoto Protocol and the Paris Agreement provide rules and obligations that differ sharply between developed and developing countries, in all their articles.",The two instruments do not differ substantially except for the period of implementation and the number of signatory countries.,2,This is a test reference,Climate change fundamentals
